dt,s1,s2,s1_norm,s2_norm,s1_ma10,s1_ma30,s1_ma60,s2_ma10,s2_ma30,s2_ma60
2015-04-04,113,22.520661997283458,0.2170769298611362,0.2275152085110415,0.4239723754013518,0.4627132434149175,0.45278789706433453,0.45119061716757225,0.4500168563361661,0.439355530569919
2015-04-05,191,32.48542551711631,0.36691764250864617,0.32818432961642746,0.4264697206121437,0.45285193155691894,0.44628839606701737,0.44704295871750677,0.4486156243298695,0.4327672809944573
2015-04-06,234,49.04839942905763,0.4495221379425298,0.4955119358649837,0.42339606496809223,0.4611764155928917,0.4399809985474534,0.4424745634519499,0.4605998298505685,0.4285683506491702
2015-04-07,175,26.69675930445396,0.3361810860681313,0.26970427247896145,0.4433748266544269,0.4606641396522165,0.43982091231599235,0.4478012195523403,0.45957041371989354,0.4279010639046132
2015-04-08,319,49.66678802614431,0.612810094032765,0.5017592127267383,0.44087748144363503,0.4665553129699818,0.44606427534297194,0.44657944427991597,0.4623166814510931,0.4330911365023093
2015-04-09,82,27.64854501791154,0.15752485175763867,0.27931969697586356,0.41744085715774243,0.4561176906787237,0.44161387810835573,0.43308355266891674,0.4570425176857345,0.43118354523284963
2015-04-10,184,33.29371742202773,0.3534703990659209,0.33635010650637376,0.40629885544805583,0.45483700082703554,0.43876434318834967,0.4187923617996764,0.4536251667809273,0.4275499392188304
2015-04-11,163,32.55187626753913,0.31312866873774514,0.32885564897373526,0.39323581896083704,0.4448476199838682,0.4330332561020453,0.4001117543431351,0.44537306671077037,0.42380014707023594
2015-04-12,259,47.804762315537005,0.4975480073808343,0.4829480797390472,0.37517809205203456,0.44286255071375163,0.4330972905946297,0.3717782513627544,0.4434158744621017,0.4225508471909417
2015-04-13,290,49.931312286685646,0.5571000854843319,0.5044315716609717,0.38612799028396794,0.45643786314164564,0.43546656682025275,0.37545800630541437,0.45413737719649505,0.422987170969221
2015-04-14,202,49.960352804845755,0.38804902506150013,0.5047249537802568,0.4032251998040043,0.4515072072126464,0.43466613566294765,0.40317898083233594,0.45274491117436794,0.42506760969218677
2015-04-15,278,49.623803665341725,0.5340476681539457,0.5013249628005197,0.41993820236853424,0.4499703793906207,0.4387323259420574,0.4204930441507451,0.4501020751273791,0.42962429957904696
2015-04-16,239,47.798230831747894,0.45912731183019073,0.48288209536006466,0.42089871975730037,0.4481774135982573,0.4418059815861089,0.41923006010025327,0.44557750130637075,0.43154000472565585
2015-04-17,187,38.275835115309484,0.35923350339851745,0.3866819993233023,0.423203961490339,0.4480493446130885,0.43818803275508994,0.4309278327846873,0.4435799293131876,0.4276330172074609
2015-04-18,141,19.43228780324831,0.2708659036320372,0.1963148779523402,0.3890095424502662,0.4356906875442981,0.4332253595797985,0.40038339930724753,0.42923389050699706,0.4218617823487149
2015-04-19,199,27.00853547726025,0.3822859207289036,0.27285399431988044,0.41148564934739273,0.440557308980713,0.43463411841665545,0.3997368290416492,0.4296171097810914,0.4210795571067002
2015-04-20,254,37.324815342108224,0.4879428334931734,0.3770743127453452,0.42493289279011803,0.4398529295622845,0.4380599637699211,0.40380924966554643,0.429035213690985,0.42270083660988855
2015-04-21,198,49.191747379356976,0.3803648859513714,0.4969601099375718,0.4316565145114805,0.4255092032233776,0.4388924121735185,0.42061969576193,0.4275424894881224,0.4249338283123851
2015-04-22,220,35.23562775028854,0.42262765105707933,0.35596827462671127,0.42416447887910513,0.4269179620602345,0.4430546541915048,0.4079217152506964,0.42610950577645723,0.42737459619425416
2015-04-23,137,34.79820687595984,0.2631817645219085,0.3515492259574501,0.3947726467828627,0.4141110635433533,0.44151782636947906,0.39263348068034426,0.4170273039072535,0.42696888476706474
2015-04-24,116,26.50701044321298,0.22284003419373274,0.2677873327488957,0.378251747696086,0.4018164409671474,0.43629901522385,0.36893971857720814,0.4077697721923721,0.4230183610540354
2015-04-25,124,26.994735967514057,0.23820831241399018,0.27271458463744597,0.34866781212209047,0.3983585783675895,0.4309841523393443,0.34607868076090076,0.40453822787638427,0.41793557488886696
2015-04-26,133,35.97664968423028,0.2554976254117798,0.3634544559757474,0.32830484348024935,0.390866542735214,0.4286468933600135,0.334135916822469,0.3986135134582241,0.4173430098395327
2015-04-27,290,55.030643414163,0.5571000854843319,0.5559476143454541,0.3480915016888308,0.4048900966111989,0.4322968594373246,0.35106247832468424,0.40993051022057064,0.4215215799595113
2015-04-28,320,64.12518498150554,0.6147311288102972,0.6478253096483658,0.3824780242066568,0.404121682700186,0.43207273871327917,0.3962135214942868,0.41439212169381684,0.4222027644672501
2015-04-29,212,35.33573636683128,0.4072593728368219,0.35697962290631424,0.38497536941744864,0.40463395864086127,0.4363630497164344,0.4046260843529302,0.4124821553544987,0.4249133673141874
2015-04-30,261,54.027149006344544,0.5013900769358987,0.5458098022570697,0.38632009376172116,0.40585061399996497,0.4314323937874352,0.4214996333041026,0.41470041492310844,0.4249819977645279
2015-05-01,144,31.283860859891792,0.27662900796463374,0.31604551089249694,0.3759465059630474,0.4002796131451216,0.4290311003155199,0.40340817339959506,0.4080465411682201,0.42371914607440797
2015-05-02,180,38.84015473230345,0.3457862599557922,0.39238304378384,0.3682623668529187,0.3892016459280194,0.43092011784675993,0.40704965031530804,0.3955832056429196,0.4248908511342881
2015-05-03,143,29.619079805090653,0.27470797318710155,0.29922704397291877,0.36941498771943804,0.38343854159542284,0.42826268640450704,0.4018174321168549,0.3899696397008711,0.42287919766713794
2015-05-04,321,48.53653975757606,0.6166521635878294,0.4903408685180482,0.40879620065884764,0.3967577160529793,0.4297354797339484,0.4240727856937701,0.398730495034438,0.4243736756853021
